DISTRITO,CAT,UBIGEO,POB_2020,MAS80_2020,DISC_2020,IVA,IDH_2019,POBREZA_2019,EXT_POBREZA_2019,UBIGEO_PROV,UBIGEO_REG,AUSEN,INVAL,ACCION POPULAR,ALIANZA PARA EL PROGRESO,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,DEMOCRACIA DIRECTA,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,FUERZA POPULAR,JUNTOS POR EL PERU,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO POPULAR CRISTIANO - PPC,PERU LIBERTARIO,PERU NACION,PERU PATRIA SEGURA,PERUANOS POR EL KAMBIO,PODEMOS POR EL PROGRESO DEL PERU,RESTAURACION NACIONAL,SIEMPRE UNIDOS,SOLIDARIDAD NACIONAL,TOTAL DE VOTOS VALIDOS,UNION POR EL PERU,VAMOS PERU,GANADOR,WIN_VAL
PACHACAMAC,Distrito,150123,111856,829,597,0.21917754411697399,0.64631065471058802,20.000896000000001,1.103996,150100,150000,15.2,4.17,18.26,4.92,1.42,1.77,1.59,2.87,3.49,0.65,13.06,2.25,4.28,0.67,9.44,0.52,18.32,7.9,1.17,4.36,100,1.6,1.48,PODEMOS POR EL PROGRESO DEL PERU,18.32
PUCUSANA,Distrito,150124,15687,196,115,0.21176874637603799,0.59893994210981905,23.739384999999999,1.605138,150100,150000,14.75,2.97,16.43,13.48,1.92,1.74,0.9,0.51,4.19,0.37,9.19,9.56,10.08,0.49,11.07,0.46,13.12,3.19,0.56,0.72,100,1.37,0.65,ACCION POPULAR,16.43
PUEBLO LIBRE,Distrito,150121,118001,5163,1139,6.6791415214538602E-2,0.83369477763452504,0.77968199999999999,2.1260999999999999E-2,150100,150000,21.15,4.97,57.57,1.03,0.21,2.79,1.14,0.33,1.9,1.35,1.59,6.62,2.22,0.2,4.3,0.24,12.5,1.59,1.06,1.74,100,0.56,1.08,ACCION POPULAR,57.57
PUENTE PIEDRA,Distrito,150125,353979,2694,2649,0.19661313295364399,0.66326289128365601,22.678988,1.6498660000000001,150100,150000,15.72,16.82,19.87,3.58,1.63,1.24,1.61,2.48,1.91,1.65,10.07,2.44,3.85,0.81,7.25,0.46,21.29,1.55,8.26,7.02,100,1.7,1.33,PODEMOS POR EL PROGRESO DEL PERU,21.29
PUNTA HERMOSA,Distrito,150126,8625,98,68,0.292316794395447,0.69598891408215102,19.183087,1.6816199999999999,150100,150000,18.7,3.27,40.76,1.92,0.3,1.22,0.81,0.49,2.63,0.45,3.02,15.1,2.35,6.14,4.56,0.38,11.55,1.05,0.83,0.98,100,4.47,0.98,ACCION POPULAR,40.76
PUNTA NEGRA,Distrito,150127,8174,110,71,0.221685945987701,0.69976235703469403,14.288620999999999,0.61157499999999998,150100,150000,16.54,3.74,34.84,4.18,0.22,1.3,4.34,0.72,1.47,1.15,5.29,13.01,2.67,1.47,4.29,0.35,13.03,6.03,1.56,2.58,100,0.65,0.87,ACCION POPULAR,34.84
RIMAC,Distrito,150128,222981,5920,2449,0.13137453794479401,0.73000365063685002,11.429909,0.50322599999999995,150100,150000,17.24,13.42,35.2,3.22,0.71,2.51,1.36,1.61,2.22,0.68,5.37,5.01,4.11,0.92,7.69,0.27,20.16,2.53,0.9,2.74,100,1.54,1.24,ACCION POPULAR,35.2
SAN BARTOLO,Distrito,150129,8583,114,71,0.18868827819824199,0.72383359010830295,13.336333,0.67819399999999996,150100,150000,14.98,4.49,31.61,1.59,0.33,11.87,1.3,0.44,1.44,0.46,17.7,4.78,2.97,0.52,6.02,0.27,11.76,1.19,2.95,1.04,100,0.75,1,ACCION POPULAR,31.61
SAN BORJA,Distrito,150130,151008,6237,931,0.10843157768249501,0.82361636325432197,0.46320800000000001,1.2775E-2,150100,150000,22.76,3.84,65.59,0.78,0.18,1.52,0.74,0.29,1.63,0.66,1.61,5.52,2.13,0.16,4.38,0.19,10.61,1.21,0.73,0.96,100,0.42,0.7,ACCION POPULAR,65.59
SAN ISIDRO,Distrito,150131,91723,4846,464,0.12500983476638799,0.78883241748479904,5.7346300000000003E-2,1.0169999999999999E-3,150100,150000,29.42,4.24,68.27,0.8,0.19,1.25,0.68,0.28,2.09,0.64,1.51,5.73,1.57,0.2,3.43,0.27,7.99,0.86,2.1,0.99,100,0.49,0.68,ACCION POPULAR,68.27
