media,n,sd,age,err.st,ci
72.8596349973162,276,23.7200860698368,1,1.42778139839259,2.79845154084947
70.1089324618736,255,26.3615132896305,2,1.65082199717306,3.2356111144592
64.6161182641869,233,29.6127420336097,3,1.93999523333461,3.80239065733584
68.2283029297955,134,27.5544297319555,4,2.38034018303366,4.66546675874597
62.3252391464312,151,32.9102410651939,5,2.67819743542315,5.24926697342937
56,75,33.8189517767339,6,3.90507618240166,7.65394931750726
